"Sentence","Years.Incarcerated","Years.Convicted","Year.of.Release","Year.of.Exoneration","Year.of.Posting"
"Not sentenced",0,0,2011,2012,2014
"4 days",0,10,2013,2023,2024
"Death",8,8,2009,2009,2011
"Life",17,18,2020,2020,2020
"6 years",2,3,2017,2018,2022
"Life",5,5,1996,1996,2011
"20 years",2,3,2002,2003,2021
"Life",0,0,1991,1991,2011
"30 years",10,29,2001,2020,2024
"60 years",20,26,2006,2013,2013
"Life without parole",37,37,2024,2024,2024
"42 years",3,4,2012,2013,2013
"Life without parole",17,22,2013,2017,2017
"Death",16,16,2004,2004,2011
"25 to Life",17,17,2010,2010,2011
"6 months",0,5,1991,1995,2023
"1 1/2 to 10 years",3,4,2019,2020,2021
"Life",30,35,2017,2021,2021
"14 years",2,2,1992,1992,2012
"Not sentenced",0,0,2008,2009,2011
"2 years",1,1,2020,2021,2021
"Probation",0,0,2014,2014,2015
"7 to 14 years",5,5,2001,2001,2011
"45 days",0,3,2015,2018,2019
"5 to life",7,7,1992,1992,2014
"Life",8,8,2015,2015,2016
"25 years",2,31,1990,2019,2019
"2 years",0,0,2009,2009,2022
"Life",35,35,2019,2019,2019
"Life without parole",5,5,2015,2015,2015
"2 years",1,2,2010,2012,2012
"50 years",23,34,2008,2019,2019
"Life without parole",2,2,2010,2010,2011
"2 years",0,0,2014,2015,2015
"Life without parole",16,16,2021,2021,2021
"20 days",0,3,2013,2016,2017
"Life",23,23,2009,2009,2011
"3 years",1,13,2007,2020,2020
"4 years",1,12,2007,2019,2019
"Life without parole",37,37,2022,2022,2022
"40 years",18,18,2004,2004,2011
"7 to 14 years",6,6,1990,1990,2013
"35 years",24,29,2017,2022,2023
"Life without parole",0,2,2006,2009,2014
"Life",42,42,2021,2021,2021
"6 months",0,0,2004,2004,2011
"3 days",0,3,2000,2003,2022
"46 years",14,14,2015,2015,2015
"30 days",0,2,1997,1999,2015
"44 years",10,12,2012,2013,2018
"25 to life",15,27,2001,2014,2014
"120 days",0,2,1997,2000,2014
"50 years",10,10,2009,2009,2012
"Life without parole",18,19,2016,2017,2017
"16 years",11,11,2003,2003,2011
"4 years",2,2,2000,2000,2021
"5 years",2,2,2000,2000,2015
"7 years",0,0,2017,2017,2017
"Life",4,4,1990,1990,2011
"Life without parole",25,31,2013,2019,2019
"10 years",1,1,2016,2016,2016
"1 year and 6 months",0,3,1993,1996,2018
"3 years and 7 months",0,17,1985,2002,2011
"25 years",3,4,2003,2004,2011
"46 years",13,15,2021,2022,2022
"25 to 50 years",6,13,2009,2016,2016
"Life without parole",31,31,2020,2020,2020
"2 years",1,5,2011,2015,2018
"1 year",1,1,2012,2012,2014
"60 days",0,6,2009,2015,2015
"24 to Life",1,3,2020,2022,2022
"16 years and 11 months",10,13,2010,2013,2013
"28 to 60 3/4 years",2,2,2012,2012,2012
"36 years",13,13,2011,2012,2012
"30 to 55 years",25,25,2008,2008,2011
"60 years",16,16,2017,2018,2018
"140 years",2,6,2019,2022,2022
"7 years and 8 months",2,3,2018,2019,2020
"99 years",5,5,2004,2004,2013
"2 days",0,6,2009,2015,2015
"Life without parole",26,26,2018,2018,2018
"Not sentenced",0,0,1991,1991,2014
"Life",39,39,2021,2021,2021
"Death",17,32,1985,2001,2011
"50 to Life",17,18,2007,2008,2011
"Life without parole",16,17,2017,2018,2018
"Probation",0,1,1998,2000,2021
"Life",18,21,2017,2019,2019
"5 months",0,8,2007,2015,2015
"2 years",0,0,2013,2013,2013
"18  months",0,0,2019,2019,2023
"3 years and 7 months",1,1,2011,2011,2017
"40 years",19,19,2008,2009,2011
"28 to life",3,7,1994,1998,2012
"Life",24,25,2015,2016,2017
"Life without parole",17,17,2013,2013,2013
"22 1/2 to Life",14,14,2004,2004,2012
"Life",32,35,2019,2022,2022
"Life",16,16,2010,2010,2011
"5 years",3,3,2022,2022,2024
"35 years",15,17,2013,2015,2021
"Life",12,12,2023,2023,2023
"20 to life",6,6,2016,2017,2019
"80 years",14,14,2011,2011,2012
"18 to 36 years",24,36,2010,2022,2022
"60 years",12,12,2007,2008,2011
"6 years",2,15,1988,2001,2011
"25 years",5,5,2014,2014,2014
"21 years",0,0,2015,2015,2015
"9 months",0,14,2009,2023,2024
"25 to Life",12,12,2003,2003,2011
"20 years",2,2,1993,1993,2013
"7 years",2,2,2010,2010,2015
"Life",26,26,2003,2003,2011
"25 to life",3,3,2013,2014,2014
"90 days",0,2,2011,2014,2014
"30 years",13,13,2011,2012,2012
"Death",14,14,2012,2012,2012
"25 to life",4,4,2014,2014,2014
"1 year",0,0,2014,2014,2014
"25 to Life",3,3,2012,2012,2013
"6 years",2,2,1992,1992,2017
"17 years",3,3,2011,2011,2013
"40 to 60 years",28,28,2020,2020,2020
"4 years",2,14,2006,2017,2018
"4 years",1,12,2008,2019,2019
"30 days",0,7,2009,2016,2016
"Life without parole",24,24,2019,2019,2019
"Life",5,5,1993,1993,2013
"Life",0,0,2006,2006,2018
"65 years",19,19,2020,2020,2021
"4 years",1,10,2009,2018,2018
"6 years",3,9,2011,2017,2018
"Life",0,0,1992,1992,2012
"Life without parole",22,22,2017,2017,2017
"25 to life",16,16,2023,2023,2023
"18 to life",3,3,1997,1997,2013
"Life",15,15,2001,2001,2011
"2 years",0,17,2004,2022,2022
"24 years",5,5,2003,2003,2011
"40 years",14,37,1996,2019,2019
"12 years",13,13,2012,2012,2013
"Death",18,18,2003,2003,2011
"49 years and 6 months",14,14,1999,1999,2011
"Life",22,22,2023,2023,2023
"Probation",0,19,2003,2022,2022
"2 years",1,11,2008,2018,2018
"9 to 23 years",4,4,2012,2012,2017
"5 to Life",6,6,2014,2014,2022
"Not sentenced",0,1,2006,2008,2012
"30 years",10,14,2002,2006,2012
"16 years",6,6,2007,2007,2011
"8 years",3,3,2006,2006,2011
"4 to 15 years",2,2,2017,2017,2017
"5 years",4,4,1999,1999,2011
"17 years",6,6,2020,2020,2020
"Life",9,9,2019,2019,2019
"2 years",0,0,2014,2014,2014
"31 years",19,20,2004,2005,2011
"Life without parole",9,11,2009,2011,2011
"4 months",0,11,2012,2023,2023
"3 years",0,0,2016,2016,2016
"45 years",16,16,2006,2006,2011
"25 years",6,12,2016,2022,2022
"Life",23,23,2010,2010,2011
"54 days",0,10,2010,2021,2021
"30 years",22,22,2024,2024,2024
"31 years",8,40,1980,2012,2016
"10 years",0,0,1994,1994,2013
"15 to life",20,22,2013,2015,2015
"Not sentenced",0,0,2004,2005,2014
"Life without parole",20,20,2023,2023,2023
"10 days",0,0,2015,2016,2016
"25 years",2,2,2015,2015,2020
"Life without parole",29,37,2015,2022,2023
"20 to life",1,3,1998,1999,2013
"12 to 50 years",7,9,2015,2017,2017
"25 to life",15,15,1994,1994,2012
"Death",10,10,2009,2009,2011
"Life",13,13,1996,1996,2011
"6 months",0,3,2013,2015,2015
"Life",1,21,1984,2004,2011
"40 to Life",20,20,2021,2021,2022
"5 years and 10 months",3,3,2009,2009,2011
"25 to 40 years",4,4,1990,1990,2012
"18 years",3,3,2003,2003,2022
"Life",28,28,2010,2010,2011
"20 years",5,5,2000,2000,2012
"Life without parole",20,23,2003,2007,2020
"30 years",2,2,2001,2001,2016
"Life",20,20,2001,2001,2011
"10 years",2,2,1992,1992,2019
"15 years",6,7,2012,2013,2013
"1 to 3 years",1,14,2009,2023,2023
"10 years",6,6,2012,2012,2012
"Not sentenced",0,0,1995,1995,2011
"Probation",0,18,1993,2012,2014
"20 to Life",23,32,2003,2012,2012
"Life without parole",13,13,2011,2011,2013
"5 years",1,1,2010,2010,2022
"Probation",0,0,2014,2014,2014
"50 to life",5,5,2015,2015,2015
"16 to life",2,2,2017,2017,2017
"15 days",0,0,2016,2017,2017
"Life",26,26,2003,2003,2011
"6 to 10 years",6,7,1998,1999,2011
"18 years",4,4,2015,2016,2017
"10 years",5,6,2003,2003,2011
"Not sentenced",0,2,2008,2010,2012
"4 years",1,3,2016,2018,2019
"3 years",1,16,2007,2022,2022
"10 to 20 years",8,16,1997,2005,2012
"20 years",5,22,1989,2005,2011
"Not sentenced",0,0,1995,1995,2014
"10 years",4,6,2020,2022,2022
"60 days",0,7,2006,2013,2019
"Probation",0,4,2012,2017,2020
"58 years",23,25,2019,2021,2021
"25 to Life",24,24,1998,1998,2011
"30 days",0,3,2012,2015,2015
"5 years",2,2,2000,2000,2021
"120 days",0,0,2016,2016,2016
"4 days",0,1,2014,2015,2015
"Not sentenced",0,0,2012,2012,2016
"Probation",0,2,2020,2023,2023
"Not sentenced",0,3,2015,2018,2018
"Probation",0,15,1997,2012,2012
"110 days",0,1,2014,2015,2016
"3 1/2 to 10 years",2,2,1996,1996,2013
"44 years",11,12,2013,2013,2018
"Life",0,46,1974,2021,2021
"Death",0,17,1994,2011,2012
"25 years",10,10,2017,2017,2017
"Life without parole",8,8,1991,1991,2011
"Life without parole",8,8,1991,1991,2011
"12 years",3,3,2006,2006,2013
"55 years",16,16,2015,2015,2015
"7 years",2,2,2013,2013,2013
"15 years",14,18,2012,2016,2016
"35 years",3,3,1989,1989,2011
"Probation",0,6,2008,2014,2015
"20 years",16,16,2015,2015,2015
"20 to life",14,15,2012,2012,2013
"20 years",7,7,2005,2005,2017
"10 days",0,0,2014,2014,2015
"25 to life",30,34,2012,2015,2015
"Life without parole",1,1,2009,2009,2015
"180 days",0,4,2019,2023,2023
"Not sentenced",0,0,2023,2023,2023
"Not sentenced",0,0,2005,2005,2011
"20 years",8,17,2002,2011,2012
"Life without parole",26,26,2019,2019,2019
"Life",7,7,1989,1989,2011
"Probation",0,0,2009,2010,2022
"3 years",1,1,2016,2016,2016
"12 to 18 years",12,12,2001,2001,2011
"50 to Life",22,22,2024,2024,2024
"Life without parole",7,7,2023,2023,2023
"55 years",15,15,2017,2017,2017
"Life",4,4,1996,1996,2013
"Life",4,4,1996,1996,2013
"25 years",7,7,2005,2005,2023
"38 years",16,16,2015,2015,2015
"17 years",3,5,1996,1998,2012
"6 to 18 years",5,5,2000,2000,2012
"29 years",7,40,1980,2012,2016
"4 years",3,3,2007,2007,2015
"15 to Life",13,22,2015,2024,2024
"25 to life",30,34,2012,2015,2015
"Not sentenced",0,0,2000,2000,2011
"Life",18,23,2014,2018,2018
"Probation",0,4,2012,2016,2016
"70 years",27,28,2015,2017,2017
"4 days",0,3,2013,2016,2016
"10 years",6,6,2000,2000,2011
"35 years",11,26,1994,2010,2011
"20 years",8,12,2013,2017,2017
"Probation",0,3,1996,2000,2021
"3 years",0,11,2008,2019,2019
"12 1/2 to 25 years",21,22,2014,2015,2015
"2 years",1,1,2016,2017,2017
"2 years",1,2,2016,2017,2017
"1 1/2 to 4 years",1,28,1988,2015,2015
"25 to 75 years",2,2,2017,2017,2018
"Probation",0,17,2004,2022,2022
"6 months",0,5,2012,2018,2018
"4 years",1,14,2009,2022,2022
"1 year and 6 months",0,17,2004,2022,2022
"50 to Life",25,25,2023,2023,2023
"8 years and 6 months",3,4,2019,2020,2021
"20 to Life",18,18,1990,1990,2013
"10 to 22 years",9,9,2016,2016,2016
"17 to Life",20,44,1998,2021,2021
"24 years",10,10,2014,2014,2014
"Life without parole",25,25,2020,2020,2020
"20 years",15,15,2012,2012,2015
"26 to Life",11,11,2003,2003,2011
"7 years",2,10,2009,2017,2018
"3 years",0,2,2003,2005,2015
"35 years",15,15,2019,2019,2020
"6 years",0,3,1989,1993,2013
"30 years",10,24,1993,2007,2011
"Life",15,15,2008,2008,2011
"50 years",16,17,2006,2007,2011
"3 years",1,16,2006,2022,2022
"5 to 10 years",7,7,2011,2011,2012
"35 years",34,35,2021,2022,2022
"17 1/2 to 40",19,29,2013,2023,2023
"Life",7,17,1981,1991,2011
"Life",4,4,1994,1994,2013
"1 year",0,2,1991,1993,2018
"6 years and 7 months",2,2,2008,2008,2013
"45 years",2,2,2001,2001,2012
"Life without parole",25,25,2020,2020,2020
"69 years",9,9,1997,1997,2011
"Life",1,3,2006,2009,2011
"4 years",3,4,2021,2022,2023
"15 to Life",18,18,2001,2001,2011
"25 to Life",9,9,2006,2006,2011
"15 to Life",20,36,2007,2024,2024
"6 years",4,14,2003,2013,2022
"Probation",0,11,2007,2018,2018
"Life",3,3,2019,2019,2019
"4 years",0,1,2003,2003,2017
"Life",13,13,2001,2001,2011
"Life",15,15,2012,2012,2012
"Life",31,31,2019,2019,2019
"25 to Life",20,20,2017,2017,2017
"Death",16,16,2000,2000,2011
"Probation",0,13,2008,2022,2023
"1 year",0,0,2006,2006,2017
"Unknown",2,2,2009,2009,2023
"60 to life",23,23,2020,2020,2020
"Life without parole",2,3,2000,2001,2022
"22 years",9,9,2001,2001,2014
"25 years",10,18,2007,2015,2015
"Probation",0,4,2014,2019,2020
"Life",17,18,2001,2001,2011
"Life",21,21,2003,2003,2011
"Probation",0,39,1978,2018,2018
"25 to life",15,15,2012,2012,2012
"60 years",13,13,2000,2000,2011
"14 years",6,6,2010,2010,2011
"Life",21,22,2023,2023,2023
"Life",27,33,2015,2022,2022
"1 year and 6 months",0,14,2007,2022,2022
"Life without parole",41,41,2017,2017,2017
"Life",35,35,2019,2019,2019
"Life without parole",38,39,2020,2020,2020
"6 years",2,4,2018,2020,2021
"Life",12,14,2004,2005,2015
"6 years and 8 months",5,20,2006,2022,2022
"40 years",14,23,1998,2007,2019
"15 days",0,1,2015,2016,2016
"Life",0,5,2014,2019,2019
"2 years and 11 months to 4 years and 3 months",2,2,2022,2022,2022
"Life without parole",1,2,1996,1997,2012
"60 years",12,12,1996,1996,2011
"Life without parole",35,35,2022,2022,2022
"30 years",14,15,2001,2002,2011
"47 years",7,7,1996,1996,2011
"30 years",19,19,2002,2002,2011
"Life",14,14,2020,2020,2020
"Probation",0,11,2007,2018,2018
"27 1/2 to Life",24,24,2019,2019,2019
"Life without parole",35,35,2017,2017,2017
"15 to 30 years",9,10,2015,2016,2016
"42 years",12,20,1998,2005,2011
"8 years",2,2,2015,2015,2015
"Not sentenced",2,2,1996,1996,2013
"1 to 15 years",0,2,2001,2002,2014
"31 days",0,1,2015,2017,2017
"1 1/2 to 5 years",0,0,1993,1993,2011
"4 years",2,19,2001,2018,2018
"25 days",0,1,2015,2016,2017
"11 to Life",7,8,2023,2024,2024
"15 years",2,2,2016,2016,2016
"Life",3,24,1998,2019,2020
"6 months",0,0,2014,2014,2015
"3 years and 6 months",0,0,2007,2007,2013
"20 to Life",1,2,2001,2002,2011
"7 years and 8 months.",3,4,2020,2021,2021
"75 years",27,27,2019,2019,2020
"18 to life",19,20,2015,2016,2016
"20 days",0,15,2000,2015,2017
"1 year and 5 months",0,2,2011,2013,2017
"25 to Life",0,12,1997,2009,2011
"60 years",24,24,2015,2015,2015
"Life without parole",15,15,2019,2019,2019
"Probation",0,18,2003,2022,2022
"Not sentenced",0,0,1994,1994,2013
"Life",2,5,1989,1992,2011
"Life",27,27,2007,2007,2011
"Life",18,19,2008,2008,2011
"Probation",0,11,2006,2017,2018
"50 years",5,5,2005,2005,2011
"60 years",2,2,2003,2003,2022
"25 years",3,3,2003,2003,2022
"5 years",5,9,2011,2015,2015
"5 years",2,10,2008,2016,2016
"249 years",20,20,2023,2024,2024
"6 months",0,10,2004,2014,2015
"63 years",22,27,2004,2009,2011
"Life",16,16,2006,2006,2011
"Probation",0,1,2008,2010,2022
"Life",20,20,2008,2008,2011
"20 to life",14,22,2011,2019,2019
"4 years",2,5,2013,2016,2016
"Life",23,23,2012,2012,2012
"Life",16,17,2021,2022,2022
"2 years",0,12,2007,2019,2019
"5 years and 6 months",0,12,2006,2018,2018
"Not sentenced",0,3,1998,2001,2016
"Life",11,12,1996,1997,2011
"12 1/2 to 15 3/4 years",9,9,2011,2011,2011
"4 years",1,1,1992,1992,2012
"Life without parole",2,2,2013,2013,2013
"Death",5,5,1993,1993,2011
"Committed to mental hospital",16,17,2017,2017,2017
"6 months",0,1,2013,2014,2014
"8 years",3,14,2011,2022,2022
"30 years",2,2,2010,2010,2012
"10 years",3,3,2003,2003,2022
"30 years",1,1,1989,1989,2013
"Life",4,4,2011,2011,2012
"Life without parole",35,35,2019,2019,2019
"8 months",0,11,2005,2016,2016
"Death",0,34,1986,2021,2021
"80 years",20,24,2019,2023,2023
"Life",15,19,1992,1996,2011
"Death",0,26,1993,2019,2020
"Life without parole",29,29,2021,2021,2021
"Life",17,18,2020,2020,2020
"Life without parole",27,27,2022,2022,2022
"Life without parole",10,17,2009,2016,2016
"Probation",0,1,2012,2014,2014
"15 years",8,8,2022,2022,2022
"Death",17,17,1996,1996,2011
"Life",18,18,2011,2011,2011
"Life without parole",26,26,2022,2022,2023
"Probation",0,17,1997,2015,2015
"12 years",7,8,1994,1995,2014
"Life",21,23,2019,2021,2021
"Life",28,28,1997,1997,2011
"Life without parole",28,28,2022,2022,2022
"100 years",11,11,2009,2009,2019
"Life",3,7,1985,1989,2013
"Life",27,28,2011,2012,2012
"45 years",3,3,2003,2003,2022
"50 years",2,2,2015,2015,2015
"Life",9,9,2001,2001,2011
"Life",6,6,1993,1993,2011
"3 months",0,14,2008,2022,2022
"Death",42,42,2019,2019,2019
"16 years",12,12,2013,2013,2013
"10 years",7,13,2009,2015,2015
"Life",44,47,2020,2024,2024
"10 years",3,3,2012,2012,2012
"3 years",1,14,2009,2022,2022
"Life",14,14,2011,2011,2012
"25 to life",0,3,1996,2000,2021
"Life without parole",23,23,2005,2005,2011
"2 years",2,3,2002,2003,2022
"3 to 40 years",0,0,2008,2008,2023
"25 to life",7,7,2016,2016,2016
"Life without parole",17,17,2015,2015,2016
"9 years",2,3,2020,2021,2021
"10 to 20 years",2,2,2012,2013,2022
"25 to life",23,23,2018,2018,2018
"13 1/2 to 27 years",0,34,1986,2020,2020
"Life",1,1,2000,2000,2011
"12 years",1,1,2014,2014,2016
"45 years",21,21,2007,2007,2011
"Death",10,10,1999,1999,2011
"30 years",2,3,2018,2020,2020
"Life without parole",21,21,2003,2003,2011
"Life",8,8,2006,2006,2011
"2 Years",1,9,2010,2018,2018
"3 years",0,17,2005,2022,2022
"3 months",0,19,2003,2022,2022
"Death",17,17,2004,2004,2011
"Life",6,6,1999,1999,2011
"10 years",2,2,2006,2006,2011
"Life without parole",7,7,2021,2021,2021
"Life",2,2,2012,2012,2012
"2 to 6 years",2,3,2019,2021,2021
"3 years",1,6,1995,2000,2018
"12 years and 3 months",2,2,2021,2021,2022
"Life without parole",30,30,2017,2017,2017
"Probation",0,2,2011,2013,2013
"Not sentenced",0,0,2017,2017,2017
"2 years and 2 months",0,1,1996,1997,2017
"17 years",21,21,2004,2004,2011
"8 1/2 years",6,17,2005,2017,2017
"Death",16,16,2005,2005,2011
"Life without parole",35,37,2018,2020,2020
"Life without parole",8,8,1995,1995,2011
"Life",2,4,1995,1997,2011
"30 years",7,7,2006,2006,2011
"9 to Life",20,20,2014,2014,2014
"Life without parole",26,26,2020,2020,2020
"5 years",1,1,1991,1991,2012
"Life",4,4,2013,2013,2013
"75 years",3,3,2010,2010,2011
"50 years",17,18,2008,2009,2011
"Probation",0,0,2015,2016,2016
"40 years",5,5,2012,2012,2012
"26 years",4,5,2018,2018,2018
"Life",6,6,2021,2021,2021
"5 to 15 years",11,12,2002,2002,2011
"1 year",0,11,2008,2018,2018
"20 years",10,10,2012,2012,2012
"45 years",11,11,2001,2001,2011
"80 years",38,38,2014,2014,2014
"25 to Life",17,17,2004,2004,2011
"12 years",3,3,1990,1990,2020
"Life",4,4,1991,1992,2011
"Life",26,26,2008,2008,2011
"10 to 20 years",7,7,1998,1998,2011
"25 years",17,20,2002,2005,2011
"Life without parole",33,34,2014,2015,2015
"1 year",1,10,2014,2023,2023
"90 days",0,16,2007,2024,2024
"3 years",1,17,2006,2022,2022
"1 1/3 to 4 years",2,18,1992,2007,2013
"31 years",18,19,2014,2014,2014
"Life without parole",17,17,2021,2021,2021
"13 years",3,3,2016,2016,2017
"Probation",0,5,2011,2017,2018
"15 years",10,10,2011,2011,2013
"7 years",0,0,2005,2005,2017
"25 years",15,15,2009,2009,2013
"55 years",7,7,1990,1990,2011
"Life",30,30,2013,2013,2013
"Life without parole",23,23,2016,2016,2016
"2 years",0,14,2007,2022,2022
"20 to Life",27,34,2007,2014,2014
"Life without parole",25,26,2022,2023,2023
"1 year and 6 months",0,19,2004,2023,2023
"Probation",0,16,2005,2022,2022
"5 years",1,17,2006,2022,2022
"6 months",0,5,2007,2013,2013
"Life",5,7,1996,1998,2023
"29 years",7,40,1980,2012,2016
"25 to 50 years",35,35,2023,2023,2023
"Community service",0,1,2013,2015,2015
"Life",13,15,2015,2018,2018
"99 years",30,30,2012,2012,2012
"40 to 60 years",8,8,2003,2003,2011
"8 years",1,1,2006,2006,2011
"Probation",0,0,2015,2015,2015
"7 years",2,2,2006,2006,2021
"75 to life",19,19,2014,2014,2014
"Death",21,21,2003,2003,2011
"20 years",0,13,2010,2023,2023
"12 days",0,8,2015,2024,2024
"52 years",10,13,2017,2019,2019
"Life without parole",15,15,2010,2010,2011
"60 to 100 years",27,28,2017,2017,2017
"4 years",1,18,2005,2022,2022
"Life without parole",10,10,2005,2005,2011
"Life without parole",31,34,2019,2021,2022
"10 years and 6 months",15,15,2000,2000,2011
"30 years",26,26,2020,2020,2020
"Not sentenced",3,3,2016,2016,2016
"1 year and 4 months",1,2,1998,2000,2021
"25 years",1,1,2001,2001,2016
"Probation",0,0,2013,2014,2020
"4 years",1,1,2001,2001,2017
"50 years",12,12,2011,2011,2013
"Life",3,3,2004,2005,2011
"5 to 15 years",3,3,1992,1992,2014
"2 years and 6 months",4,5,2008,2009,2011
